director,genre,gross,name,rating,runtime,score,star,votes,writer
Rob Reiner,Adventure,52287414,Stand by Me,R,89,8.1,Wil Wheaton,299174,Stephen King
John Hughes,Comedy,70136369,Ferris Bueller's Day Off,PG-13,103,7.8,Matthew Broderick,264740,John Hughes
Tony Scott,Action,179800601,Top Gun,PG,110,6.9,Tom Cruise,236909,Jim Cash
James Cameron,Action,85160248,Aliens,R,137,8.4,Sigourney Weaver,540152,James Cameron
Randal Kleiser,Adventure,18564613,Flight of the Navigator,PG,90,6.9,Joey Cramer,36636,Mark H. Baker
Oliver Stone,Drama,138530565,Platoon,R,120,8.1,Charlie Sheen,317585,Oliver Stone
Jim Henson,Adventure,12729917,Labyrinth,PG,101,7.4,David Bowie,102879,Dennis Lee
David Lynch,Drama,8551228,Blue Velvet,R,120,7.8,Isabella Rossellini,146768,David Lynch
Howard Deutch,Comedy,40471663,Pretty in Pink,PG-13,96,6.8,Molly Ringwald,60565,John Hughes
David Cronenberg,Drama,40456565,The Fly,R,96,7.5,Jeff Goldblum,129698,George Langelaan
Peter Faiman,Adventure,174635000,Crocodile Dundee,PG-13,97,6.5,Paul Hogan,79465,Ken Shadie
Russell Mulcahy,Action,5900000,Highlander,R,116,7.2,Christopher Lambert,104860,Gregory Widen
David Seltzer,Comedy,8200000,Lucas,PG-13,100,6.8,Corey Haim,12228,David Seltzer
John Carpenter,Action,11100000,Big Trouble in Little China,PG-13,99,7.3,Kurt Russell,101678,Gary Goldman
Michael Mann,Crime,8620929,Manhunter,R,120,7.2,William Petersen,54000,Thomas Harris
Adrian Lyne,Drama,6734844,9½ Weeks,R,117,5.9,Mickey Rourke,31798,Elizabeth McNeill
Stephen King,Action,7433663,Maximum Overdrive,R,98,5.4,Emilio Estevez,24881,Stephen King
Frank Oz,Comedy,38747385,Little Shop of Horrors,PG-13,94,6.9,Rick Moranis,53327,Howard Ashman
Mike Marvin,Action,3500000,The Wraith,PG-13,93,5.9,Charlie Sheen,11635,Mike Marvin
Willard Huyck,Action,16295774,Howard the Duck,PG,110,4.6,Lea Thompson,36020,Steve Gerber
Stephen Herek,Action,13167232,Critters,PG-13,82,6,Dee Wallace,25517,Domonic Muir
Alan Metter,Comedy,91258000,Back to School,PG-13,96,6.6,Rodney Dangerfield,23120,Rodney Dangerfield
Tobe Hooper,Comedy,8025872,The Texas Chainsaw Massacre 2,UNRATED,89,5.6,Dennis Hopper,21253,L.M. Kit Carson
Clint Eastwood,Action,42724017,Heartbreak Ridge,R,130,6.8,Clint Eastwood,32954,James Carabatsos
Leonard Nimoy,Adventure,109713132,Star Trek IV: The Voyage Home,PG,119,7.3,William Shatner,66366,Gene Roddenberry
John Badham,Comedy,40697761,Short Circuit,PG,98,6.6,Ally Sheedy,47068,S.S. Wilson
Jean-Jacques Annaud,Crime,7153487,The Name of the Rose,R,130,7.8,Sean Connery,86991,Umberto Eco
Sidney J. Furie,Action,24159872,Iron Eagle,PG-13,117,5.3,Louis Gossett Jr.,11304,Kevin Alyn Elders
Michael Ritchie,Action,79817937,The Golden Child,PG-13,94,5.9,Eddie Murphy,42997,Dennis Feldman
Tim Hunter,Crime,4600000,River's Edge,R,99,7.1,Crispin Glover,12862,Neal Jimenez
John Landis,Comedy,39246734,¡Three Amigos!,PG,104,6.4,Steve Martin,57406,Steve Martin
George P. Cosmatos,Action,49042224,Cobra,R,87,5.7,Sylvester Stallone,54851,Paula Gosling
Jean-Jacques Beineix,Drama,2003822,Betty Blue,Not specified,120,7.4,Jean-Hugues Anglade,14562,Philippe Djian
Roland Joffé,Adventure,17218023,The Mission,PG,125,7.5,Robert De Niro,47497,Robert Bolt
Martin Scorsese,Drama,52293982,The Color of Money,R,119,7,Paul Newman,62495,Walter Tevis
John G. Avildsen,Action,115103979,The Karate Kid Part II,PG,113,5.9,Pat Morita,58370,Robert Mark Kamen
Nick Castle,Drama,7177431,The Boy Who Could Fly,PG,114,6.5,Lucy Deakins,4623,Nick Castle
Robert Harmon,Thriller,5844868,The Hitcher,R,97,7.3,Rutger Hauer,36191,Eric Red
Richard Benjamin,Comedy,37499651,The Money Pit,PG,91,6.3,Tom Hanks,41278,David Giler
Tom McLoughlin,Horror,19472057,Jason Lives: Friday the 13th Part VI,R,86,5.9,Thom Mathews,28310,Tom McLoughlin
Peter Weir,Adventure,14302779,The Mosquito Coast,PG,117,6.6,Harrison Ford,23076,Paul Theroux
Don Bluth,Animation,47483002,An American Tail,G,80,6.9,Dom DeLuise,41004,Judy Freudberg
Alex Cox,Biography,2826523,Sid and Nancy,R,112,7.1,Gary Oldman,25032,Alex Cox
John Guillermin,Action,4711220,King Kong Lives,PG-13,105,3.8,Brian Kerwin,4401,Ronald Shusett
Stuart Gordon,Horror,1261000,From Beyond,R,86,6.7,Jeffrey Combs,16636,H.P. Lovecraft
Francis Ford Coppola,Comedy,41382841,Peggy Sue Got Married,PG-13,103,6.3,Kathleen Turner,28529,Jerry Leichtling
Brian Gibson,Horror,40996665,Poltergeist II: The Other Side,PG-13,91,5.7,JoBeth Williams,20669,Mark Victor
John Carl Buechler,Comedy,5450815,Troll,PG-13,82,4.3,Michael Moriarty,7569,Ed Naha
Peter Hyams,Action,38500726,Running Scared,R,107,6.5,Gregory Hines,9344,Gary DeVore
Michael Ritchie,Comedy,26285544,Wildcats,R,106,5.9,Goldie Hawn,10239,Ezra Sacks
John McNaughton,Biography,609939,Henry: Portrait of a Serial Killer,UNRATED,83,7,Michael Rooker,25367,Richard Fire
Harry Winer,Adventure,9697739,SpaceCamp,PG,107,5.6,Kate Capshaw,11484,Clifford Green
Woody Allen,Comedy,40084041,Hannah and Her Sisters,PG-13,107,8,Mia Farrow,56988,Woody Allen
Ron Clements,Animation,38600000,The Great Mouse Detective,G,74,7.2,Vincent Price,36539,Peter Young
John Irvin,Action,16209459,Raw Deal,R,106,5.5,Arnold Schwarzenegger,24851,Luciano Vincenzoni
Nelson Shin,Animation,5849647,The Transformers: The Movie,PG,84,7.3,Orson Welles,33609,Ron Friedman
Hal Needham,Drama,2015882,Rad,PG,91,7.2,Bart Conner,4039,Sam Bernard
Fred Dekker,Comedy,591366,Night of the Creeps,R,88,6.8,Jason Lively,16077,Fred Dekker
Tobe Hooper,Horror,4884663,Invaders from Mars,PG,100,5.5,Karen Black,5878,Richard Blake
Walter Hill,Drama,5839031,Crossroads,R,99,7.1,Ralph Macchio,11415,John Fusco
David Anspaugh,Drama,28607524,Hoosiers,PG,114,7.6,Gene Hackman,36604,Angelo Pizzo
Andrei Tarkovsky,Drama,300653,Sacrifice,PG,149,8.1,Erland Josephson,16571,Andrei Tarkovsky
James Foley,Crime,2347000,At Close Range,R,111,7,Sean Penn,11607,Elliott Lewitt
Peter Markle,Drama,15448384,Youngblood,R,110,6.1,Rob Lowe,10412,Peter Markle
Corey Yuen,Action,4662137,"No Retreat, No Surrender",PG,85,5.6,Kurt McKinney,12803,See-Yuen Ng
Anthony Perkins,Horror,14481606,Psicosis III,R,93,5.3,Anthony Perkins,10022,Charles Edward Pogue
Mike Nichols,Comedy,25314289,Heartburn,R,108,6.1,Meryl Streep,7570,Nora Ephron
Michael Chapman,Adventure,1953732,The Clan of the Cave Bear,R,98,5.3,Daryl Hannah,5340,Jean M. Auel
Menahem Golan,Action,17768900,The Delta Force,R,125,5.6,Chuck Norris,15819,James Bruner
Wes Craven,Drama,8988731,Deadly Friend,R,91,5.5,Matthew Labyorteaux,5419,Diana Henstell
Edward Zwick,Comedy,38702310,About Last Night...,R,113,6.2,Rob Lowe,12307,David Mamet
Steve Miner,Comedy,27820000,Soul Man,PG-13,104,5.2,C. Thomas Howell,6440,Carol Black
Savage Steve Holland,Comedy,13431806,One Crazy Summer,PG,93,6.4,John Cusack,11581,Savage Steve Holland
Charles Martin Smith,Comedy,6797218,Trick or Treat,R,98,5.8,Marc Price,4585,Rhet Topham
Ron Howard,Comedy,36611610,Gung Ho,PG-13,112,6.2,Michael Keaton,9965,Edwin Blum
Sidney Lumet,Crime,25147055,The Morning After,R,103,6,Jane Fonda,4943,James Cresson
Jerry Paris,Comedy,43579163,Police Academy 3: Back in Training,PG,83,5.2,Steve Guttenberg,35443,Neal Israel
Spike Lee,Comedy,7137502,She's Gotta Have It,R,84,6.6,Tracy Camilla Johns,5257,Spike Lee
Jim Abrahams,Comedy,71624879,Ruthless People,R,93,6.9,Bette Midler,22554,Dale Launer
Paul Michael Glaser,Action,4865912,Band of the Hand,R,109,6.3,Stephen Lang,2297,Leo Garen
John Frankenheimer,Crime,5186646,52 Pick-Up,R,110,6.4,Roy Scheider,3866,Elmore Leonard
Randa Haines,Drama,31853080,Children of a Lesser God,R,119,7.2,William Hurt,12538,Mark Medoff
Mark L. Lester,Action,15945534,Armed and Dangerous,PG-13,88,5.6,John Candy,9040,Brian Grazer
Jim Jarmusch,Comedy,1436000,Down by Law,R,107,7.8,Tom Waits,39456,Jim Jarmusch
Robert Mandel,Action,20603715,F/X,R,109,6.7,Bryan Brown,14502,Robert T. Megginson
Masanori Hata,Adventure,13245219,The Adventures of Milo and Otis,G,90,7.1,Kyôko Koizumi,9178,Masanori Hata
Jonathan Demme,Comedy,8362969,Something Wild,R,114,6.9,Jeff Daniels,13186,E. Max Frye
Marshall Brickman,Sci-Fi,3900000,The Manhattan Project,PG-13,117,6.1,John Lithgow,4666,Marshall Brickman
Fred Walton,Horror,12947763,April Fool's Day,R,89,6.2,Deborah Foreman,11458,Danilo Bach
Alan Johnson,Action,1579260,Solarbabies,PG-13,94,4.8,Richard Jordan,3397,Walon Green
Jim McBride,Comedy,17685307,The Big Easy,R,102,6.6,Dennis Quaid,10022,Daniel Petrie Jr.
Penny Marshall,Comedy,25587804,Jumpin' Jack Flash,R,105,5.8,Whoopi Goldberg,15703,David Franzoni
Roman Polanski,Adventure,1641825,Piratas,PG-13,121,6.1,Walter Matthau,6596,John Brownjohn
Jimmy T. Murakami,Animation,5274,When the Wind Blows,Not specified,80,7.8,Peggy Ashcroft,7900,Raymond Briggs
Jeff Kanew,Comedy,21458229,Tough Guys,PG,104,6.2,Burt Lancaster,5584,James Orr
Pedro Almodóvar,Drama,206952,Matador,NC-17,110,7,Assumpta Serna,8959,Pedro Almodóvar
Harley Cokeliss,Action,6637565,Black Moon Rising,R,100,5.4,Tommy Lee Jones,4045,John Carpenter
Roger Spottiswoode,Comedy,7790931,The Best of Times,PG-13,104,5.9,Robin Williams,5523,Ron Shelton
Kevin Tenney,Horror,7369373,Witchboard,R,98,5.7,Todd Allen,4744,Kevin Tenney
Paul Mazursky,Comedy,62134225,Down and Out in Beverly Hills,R,103,6.1,Nick Nolte,13569,René Fauchois
Trevor Nunn,Biography,277646,Lady Jane,PG-13,136,7.2,Helena Bonham Carter,5364,Chris Bryant
Thomas Michael Donnelly,Crime,7634909,Quicksilver,PG,105,5.6,Kevin Bacon,3720,Thomas Michael Donnelly
Mike Joens,Animation,5958456,My Little Pony: The Movie,G,86,6,Danny DeVito,2125,George Arthur Bloom
Ken Russell,Horror,916172,Gothic,R,87,5.7,Gabriel Byrne,5843,Lord Byron
Hal Ashby,Action,1305114,8 Million Ways to Die,R,115,5.7,Jeff Bridges,3607,Lawrence Block
Richard Pearce,Crime,12303904,No Mercy,R,106,5.7,Richard Gere,5564,James Carabatsos
Gene Wilder,Comedy,8033397,Haunted Honeymoon,PG,82,5.6,Gene Wilder,5549,Gene Wilder
Ted Nicolaou,Comedy,320256,TerrorVision,R,83,5.7,Diane Franklin,4620,Ted Nicolaou
Gary Nelson,Action,3751699,Allan Quatermain and the Lost City of Gold,PG,99,4.4,Richard Chamberlain,7491,H. Rider Haggard
Neil Jordan,Crime,5794184,Mona Lisa,R,104,7.4,Bob Hoskins,10747,Neil Jordan
Garry Marshall,Comedy,32324557,Nothing in Common,PG,118,5.9,Tom Hanks,5345,Rick Podell
J. Lee Thompson,Action,11834302,Firewalker,PG,104,5,Chuck Norris,4752,Robert Gosnell
Nicolas Roeg,Adventure,483460,Castaway,R,117,6,Oliver Reed,2649,Lucy Irvine
Richard Wenk,Comedy,4941117,Vamp,R,93,5.9,Chris Makepeace,3909,Donald P. Borchers
Derek Jarman,Biography,3151,Caravaggio,Not specified,93,6.7,Noam Almaz,4072,Derek Jarman
Leos Carax,Crime,21483,Mauvais Sang,UNRATED,116,7.3,Michel Piccoli,4922,Leos Carax
Duncan Gibbins,Drama,4636169,Fire with Fire,PG-13,103,6.6,Craig Sheffer,1264,Bill Phillips
Harold Ramis,Comedy,12308521,Club Paradise,PG-13,96,4.9,Robin Williams,5049,Harry Shearer
Ivan Reitman,Comedy,49851591,Legal Eagles,PG,116,5.9,Robert Redford,8374,Ivan Reitman
Christopher Morahan,Comedy,1476356,Clockwise,PG,96,6.6,John Cleese,9689,Michael Frayn
Robert M. Young,Drama,13418091,Extremities,R,89,6.3,Farrah Fawcett,2705,William Mastrosimone
Brian De Palma,Comedy,8475466,Wise Guys,R,100,5.6,Danny DeVito,4573,George Gallo
Peter Medak,Drama,2444076,The Men's Club,R,101,4.5,David Dukes,680,Leonard Michaels
Claude Berri,Drama,4940939,Jean de Florette,PG,120,8.1,Yves Montand,20914,Claude Berri
Tom DeSimone,Drama,2510433,Reform School Girls,R,94,5.2,Linda Carol,1717,Jack Cummins
Claude Berri,Drama,3940542,Manon of the Spring,PG,113,8,Yves Montand,17849,Claude Berri
Jim Goddard,Adventure,2315683,Shanghai Surprise,PG-13,97,3.1,Sean Penn,4339,John Kohn
Sidney Lumet,Drama,3800000,Power,R,111,5.7,Richard Gere,2287,David Himmelstein
Jerry Kramer,Comedy,604849,Modern Girls,PG-13,84,5.9,Daphne Zuniga,1023,Laurie Craig
Bruce Beresford,Comedy,22905500,Crimes of the Heart,PG-13,105,6.4,Diane Keaton,3079,Beth Henley
John McTiernan,Horror,2278264,Nomads,R,91,5.5,Lesley-Anne Down,3006,John McTiernan
Peter Manoogian,Action,4601256,Eliminators,PG,96,4.5,Andrew Prine,1422,Paul De Meo
George Mendeluk,Comedy,2147228,Meatballs III: Summer Job,R,96,3.3,Sally Kellerman,2003,Janis Allen
J. Lee Thompson,Action,9947631,Murphy's Law,R,100,5.9,Charles Bronson,3561,Gail Morgan Hickman
David Byrne,Musical,2545142,True Stories,PG,90,7,David Byrne,3885,Stephen Tobolowsky
Prince,Comedy,10090429,Under the Cherry Moon,PG-13,98,4.9,Prince,2549,Becky Johnston
Moshé Mizrahi,Drama,278623,Every Time We Say Goodbye,PG-13,95,5.9,Tom Hanks,1834,Moshé Mizrahi
Julien Temple,Drama,930211,Absolute Beginners,PG-13,108,5.6,Patsy Kensit,2659,Colin MacInnes
Bertrand Tavernier,Drama,3272600,'Round Midnight,R,133,7.4,Dexter Gordon,4028,David Rayfiel
Sam Firstenberg,Action,4679650,Avenging Force,R,104,5.9,Michael Dudikoff,1808,James Booth
Paul Lynch,Action,2995527,Bullies,R,96,5.4,Jonathan Crombie,340,John Sheppard
John Hough,Adventure,112132,Biggles: Adventures in Time,PG,88,5.8,Neil Dickson,2243,W.E. Johns
Albert Magnoli,Drama,4845724,American Anthem,PG-13,102,4,Mitchell Gaylord,1284,Evan Archerd
Richard Tuggle,Action,5099316,Out of Bounds,R,93,5.4,Anthony Michael Hall,1016,Tony Kayden
David Beaird,Comedy,4781448,My Chauffeur,R,97,5.6,Deborah Foreman,1426,David Beaird
Gene Saks,Comedy,11957943,Brighton Beach Memoirs,PG-13,108,6.9,Blythe Danner,2720,Neil Simon
Éric Rohmer,Drama,37455,Summer,R,98,7.8,Marie Rivière,4612,Marie Rivière
Paul Nicholas,Drama,3136701,The Naked Cage,R,97,5.5,Shari Shattuck,327,Paul Nicholas
Richard Franklin,Horror,1720450,Link,R,100,5.9,Terence Stamp,2080,Lee David Zlotoff
Bob Swaim,Thriller,1131399,Half Moon Street,R,90,5.4,Sigourney Weaver,2157,Edward Behr
Tom Moore,Drama,441863,"'night, Mother",PG-13,96,7.6,Sissy Spacek,1840,Marsha Norman
Blake Edwards,Action,6029824,A Fine Mess,PG,90,4.5,Ted Danson,1164,Blake Edwards
Mark Griffiths,Comedy,78068,Hardbodies 2,R,88,2.9,James Karen,895,Mark Griffiths
Fons Rademakers,Drama,203781,The Assault,PG,155,7.3,Derek de Lint,2694,Gerard Soeteman
Paul Schneider,Comedy,277405,Willy/Milly,PG-13,86,5.7,Pamela Adlon,323,Alan Friedman
Janet Greek,Drama,239073,The Ladies Club,R,85,5.3,Karen Austin,154,Casey Bishop
Stuart Rosenberg,Action,140980,Let's Get Harry,R,102,5.2,Michael Schoeffling,978,Mark Feldberg
Daryl Duke,Adventure,4007250,Tai-Pan,R,127,5.5,Bryan Brown,1340,John Briley
Jeffrey Delman,Comedy,2750741,Deadtime Stories,R,93,4.6,Scott Valentine,973,Jeffrey Delman
Dick Richards,Action,2793214,Heat,R,101,5.5,Burt Reynolds,1358,William Goldman
Robert Mandel,Comedy,1254040,Touch and Go,R,101,5.8,Michael Keaton,684,Alan Ormsby
Charles Jarrott,Biography,275000,The Boy in Blue,R,100,5.4,Nicolas Cage,907,Douglas Bowie
Alan Alda,Comedy,14205021,Sweet Liberty,PG,106,5.7,Alan Alda,2300,Alan Alda
William Fruet,Comedy,681337,Killer Party,R,91,4.7,Martin Hewitt,1265,Barney Cohen
Bill Sherwood,Drama,537681,Parting Glances,Not specified,90,7.8,John Bolger,2330,Bill Sherwood
Dale Schott,Animation,8540346,Care Bears Movie II: A New Generation,G,76,5.3,Maxine Miller,1760,Peter Sauder
Richard Pryor,Biography,18034150,"Jo Jo Dancer, Your Life Is Calling",R,97,6.3,Richard Pryor,1288,Rocco Urbisci
Andrew Lane,Action,1943751,Jake Speed,PG,100,5.3,Wayne Crawford,632,Wayne Crawford
Renny Harlin,Action,3388020,Born American,R,97,4.3,Mike Norris,1509,Renny Harlin
Michelle Manning,Action,6947787,Blue City,R,83,4.4,Judd Nelson,792,Ross Macdonald
Nadia Tass,Comedy,544472,Malcolm,PG-13,90,7.2,Colin Friels,1623,David Parker
Bob Weinstein,Comedy,2669366,Playing for Keeps,PG-13,102,4.1,Daniel Jordano,515,Bob Weinstein
Andrey Konchalovskiy,Drama,8736,Duet for One,R,107,7,Julie Andrews,699,Tom Kempinski
Evelyn Purcell,Comedy,563358,Nobody's Fool,PG-13,107,5.5,Rosanna Arquette,652,Beth Henley
John Byrum,Comedy,444746,The Whoopee Boys,R,88,6.2,Michael O'Keefe,639,Steve Zacharias
Blake Edwards,Comedy,4079895,That's Life!,PG-13,102,6.1,Jack Lemmon,1032,Milton Wexler
Hal Needham,Comedy,14926,Body Slam,PG,89,5.3,Dirk Benedict,795,Shel Lytton
David Drury,Thriller,750000,Defense of the Realm,PG,96,6.6,Gabriel Byrne,1625,Martin Stellman
Eliseo Subiela,Drama,725000,Man Facing Southeast,R,105,7.8,Lorenzo Quinteros,2991,Eliseo Subiela
Denys Arcand,Comedy,1902706,The Decline of the American Empire,R,101,7.3,Dominique Michel,6622,Denys Arcand
Jack Fisk,Drama,4743287,Violets Are Blue...,PG-13,88,5.7,Sissy Spacek,553,Naomi Foner
Simon Langton,Thriller,1500000,The Whistle Blower,PG,100,6.2,Michael Caine,1672,Julian Bond
Jerrold Freedman,Drama,1301121,Native Son,PG,111,5.9,Victor Love,448,Richard Wesley
Eugene Corr,Drama,416393,Desert Bloom,PG,105,6.6,Jon Voight,821,Linda Remy
Lizzie Borden,Drama,1777378,Working Girls,UNRATED,93,6.5,Louise Smith,604,Lizzie Borden
Bertrand Blier,Comedy,925952,Ménage,Not specified,84,7,Gérard Depardieu,2022,Bertrand Blier
Henning Carlsen,Biography,583800,Oviri,R,100,6.2,Donald Sutherland,275,Henning Carlsen
Raju Patel,Action,181410,In the Shadow of Kilimanjaro,R,100,5.1,John Rhys-Davies,310,T. Michael Harry
Tim Burstall,Drama,432266,Kangaroo,R,108,6.7,Colin Friels,156,Evan Jones
Albert Pyun,Action,2390525,Dangerously Close,R,95,6.6,John Stockwell,935,Scott Fields
Carroll Ballard,Family,781727,Nutcracker,G,100,7.2,Hugh Bigney,578,Kent Stowell
Federico Fellini,Comedy,837623,Ginger and Fred,PG-13,125,7.3,Marcello Mastroianni,3859,Federico Fellini
Alan J. Pakula,Crime,502237,Dream Lover,R,104,5.1,Kristy McNichol,405,Jon Boorstin
Allan Burns,Drama,6408791,Just Between Friends,PG-13,110,5.9,Mary Tyler Moore,629,Allan Burns
Gary Hudson,Action,145975,Thunder Run,PG-13,90,5.1,Forrest Tucker,218,Charles Davis
Paul Bartel,Comedy,1096843,The Longshot,PG-13,89,5.4,Tim Conway,457,Tim Conway
Michael Dinner,Comedy,4842778,Off Beat,PG,92,5,Judge Reinhold,748,Dezsö Magyar
Joe Roth,Drama,2520664,Streets of Gold,R,95,6,Klaus Maria Brandauer,505,Dezsö Magyar
Bert Convy,Action,351623,Weekend Warriors,R,100,4.4,Chris Lemmon,237,Bruce Belland
Zoran Perisic,Action,2295500,Sky Bandits,PG,100,4.6,Scott McGinnis,183,Thom Keyes
Fred Olen Ray,Action,1368912,Armed Response,R,86,4.9,David Carradine,489,T.L. Lankford
Franco Zeffirelli,Drama,189042,Otello,PG,100,7.2,Plácido Domingo,424,Arrigo Boito
Rob Nilsson,Drama,440438,On the Edge,PG-13,95,7.1,Bruce Dern,171,Roy Kissin
Frank Harris,Action,63860,Low Blow,R,100,3.5,Leo Fong,256,Leo Fong
Glen Pitre,Drama,1444618,Belizaire the Cajun,PG,103,6.4,Armand Assante,391,Glen Pitre
Claude Lelouch,Drama,227510,A Man and a Woman: 20 Years Later,PG,112,5.8,Anouk Aimée,496,Claude Lelouch
Clay Borris,Action,1900000,Quiet Cool,R,100,5.7,James Remar,542,Clay Borris
Gideon Amir,Action,2497233,Behind Enemy Lines,R,90,4.9,David Carradine,368,Malcolm Barbour
Francis Schaeffer,Action,193153,Wired to Kill,R,86,4.2,Emily Longstreth,163,Francis Schaeffer
Bruce Beresford,Drama,149440,The Fringe Dwellers,PG,98,6.7,Kristina Nehm,305,Bruce Beresford
